,SERVICE,PART_NAME
13078,Drivetrain-Brakes-Repair,"['Bearings', 'Clamps and Clips', 'Gaskets', 'O-Rings', 'Seals']"
13086,Drivetrain-Brakes-Rebuild,"['Duo Cone Group', 'Gaskets', 'Hubs', 'O-Rings', 'Seals']"
13093,Engine-Turbo Group-Rebuild,"['Fasteners Studs', 'Kit - Engines', 'Turbos and Turbo Groups']"
13097,Drivetrain-Brakes-Rebuild,"['Bars', 'Plates and Strips', 'Tube and Bellows Assemblies']"
13105,Engine-Water Pump Group-Rebuild,"['Gaskets', 'O-Rings', 'Seals', 'Shaft Seals', 'Shafts']"
13106,Engine-Injector Group-Rebuild,"['Bolts and Screws', 'Fasteners Studs', 'Gaskets', 'O-Rings', 'Seals', 'Valve Cartridges', 'Washers and Spacers']"
13107,Drivetrain-Brakes-Rebuild,"['Caps and Plugs', 'Gaskets', 'Hose Assemblies', 'Kit - Maintenance', 'No Data', 'Other Non-Metallic Covers and Supports']"
13124,Engine-Injector Group-Rebuild,"['Custom Supports', 'Dowel Pins', 'Gaskets', 'O-Rings', 'Seals', 'Valve Cartridges']"
13138,Drivetrain-Brakes-Rebuild,['Hose Assemblies']
13141,Drivetrain-Brakes-Rebuild,"['Gaskets', 'Kit - Maintenance', 'O-Rings', 'Seals', 'Washers and Spacers']"
13143,Drivetrain-Brakes-Rebuild,"['Bolts and Screws', 'Fasteners Studs', 'Gaskets', 'Hose adapters']"
13152,Drivetrain-Brakes-Rebuild,"['Bars', 'Bolts and Screws', 'Brake Valves', 'Linkage Pins', 'Plates and Strips']"
13156,Drivetrain-Axle-Rebuild,"['Bolts and Screws', 'Driveshafts and Joint Groups', 'Washers and Spacers', 'Yokes']"
13161,Drivetrain-Brakes-Rebuild,"['Caps and Plugs', 'Gaskets', 'O-Rings', 'Seals', 'Springs']"
13166,Drivetrain-Brakes-Repair,['Foot Pedal']
13170,Drivetrain-Brakes-Rebuild,"['Brake Valves', 'Clamps and Clips', 'Gaskets', 'Master Cylinders', 'O-Rings', 'Seals']"
13172,Drivetrain-Differential-Repair,"['Gaskets', 'O-Rings', 'Seals']"
13176,Drivetrain-Axle-Rebuild,"['Bearings', 'Bolts and Screws', 'Washers and Spacers']"
13187,Drivetrain-Brakes-Rebuild,"['Joystick Components', 'Kit - Maintenance', 'Other Metallic Covers', 'Other Non-Metallic Covers and Supports', 'Pins', 'Retaining Rings', 'Springs']"
13189,Drivetrain-Axle-Rebuild,"['Bolts and Screws', 'Caps and Plugs', 'Fasteners Nuts', 'Trunnion Supports', 'Washers and Spacers']"
13191,Drivetrain-Brakes-Rebuild,"['Bars', 'Kit - Maintenance', 'Plates and Strips']"
13192,Drivetrain-Brakes-Rebuild,"['Controls-Primary', 'Gaskets', 'Kit - Maintenance', 'No Data', 'O-Rings', 'Seals']"
13200,Drivetrain-Brakes-Rebuild,"['Accumulators and Accumulator Components', 'Bars', 'Gaskets', 'O-Rings', 'Plates and Strips', 'Seals', 'Washers and Spacers']"
13201,Drivetrain-Brakes-Rebuild,"['Dust Ejector Check Valves', 'Gaskets', 'Kit - Maintenance', 'O-Rings', 'Seals']"
13202,Drivetrain-Brakes-Rebuild,"['Bolts and Screws', 'Fasteners Studs', 'Separator Plates']"
13203,Drivetrain-Brakes-Rebuild,"['Clamps and Clips', 'Fasteners Studs', 'Gaskets', 'O-Rings', 'Pins', 'Seals', 'Springs']"
13207,Drivetrain-Brakes-Rebuild,"['Duo Cone Group', 'Fasteners Studs', 'Friction Discs', 'Gaskets', 'O-Rings', 'Pins', 'Seals', 'Springs', 'Valve Components']"
13210,Drivetrain-Brakes-Rebuild,"['Gaskets', 'Hose Assemblies', 'Kit - Hydraulics', 'O-Rings', 'Rotating Seals', 'Seals']"
13215,Drivetrain-Brakes-Rebuild,"['Breathers', 'Controls-Switching', 'Gaskets', 'Kit - Drivetrain and Steering', 'O-Rings', 'Seals', 'Valve Components']"
13217,Drivetrain-Axle-Rebuild,"['Driveshafts and Joint Groups', 'Gaskets', 'O-Rings', 'Seals', 'Washers and Spacers']"
13224,Engine-Injector Group-Rebuild,"['Dowel Pins', 'Injectors', 'Mounts', 'Valve Cartridges']"
13235,Drivetrain-Brakes-Rebuild,"['Breathers', 'Fasteners Nuts', 'Gaskets', 'Kit - Drivetrain and Steering', 'O-Rings', 'Seals', 'Solid Rods', 'Valve Components']"
13237,Drivetrain-Axle-Rebuild,"['Bearing Housings', 'Bearings', 'Driveshafts and Joint Groups', 'Gaskets', 'O-Rings', 'Seals']"
13241,Drivetrain-Axle-Rebuild,"['Gears', 'Hub']"
13244,Engine-Injector Group-Rebuild,"['Caps and Plugs', 'Clamps and Clips', 'Dowel Pins', 'Gaskets', 'Hose adapters', 'Mounts', 'O-Rings', 'Seals', 'Temperature Sensors', 'Valve Cartridges', 'Washers and Spacers']"
13258,Engine-Injector Group-Rebuild,"['Bridge', 'Dowel Pins', 'Gaskets', 'Hose adapters', 'O-Rings', 'Seals', 'Valve Cartridges', 'Washers and Spacers']"
13259,Drivetrain-Brakes-Rebuild,"['Clamps and Clips', 'Duo Cone Group', 'Gaskets', 'O-Rings', 'Seals', 'Separator Plates']"
13260,Drivetrain-Axle-Rebuild,"['Bolts and Screws', 'Gaskets', 'O-Rings', 'Seals', 'Shafts', 'Yoke Assemblies']"
13270,Drivetrain-Brakes-Rebuild,"['Caps and Plugs', 'Friction Discs', 'Gaskets', 'O-Rings', 'Seals', 'Separator Plates', 'Springs']"
13271,Engine-Turbo Group-Rebuild,"['Clamps and Clips', 'Hose Assemblies', 'Thermostat', 'Turbos and Turbo Groups']"
13288,Engine-Injector Group-Rebuild,"['Caps and Plugs', 'Clamps and Clips', 'Gaskets', 'Hose adapters', 'Mounts', 'O-Rings', 'Seals', 'Temperature Sensors', 'Valve Cartridges', 'Washers and Spacers']"
13294,Engine-Injector Group-Rebuild,"['Caps and Plugs', 'Clamps and Clips', 'Dowel Pins', 'Fasteners Studs', 'Gaskets', 'Hose adapters', 'O-Rings', 'Seals', 'Temperature Sensors']"
13296,Engine-Turbo Group-Rebuild,"['Clamps and Clips', 'Washers and Spacers']"
13308,Drivetrain-Axle-Rebuild,"['Bearings', 'Bolts and Screws', 'Driveshafts and Joint Groups', 'Gaskets', 'O-Rings', 'Rotating Seals', 'Seals', 'Yoke Assemblies']"
13310,Drivetrain-Axle-Rebuild,"['Bearing', 'Bearing Housings', 'Bearings', 'Gaskets', 'O-Rings', 'Rotating Seals', 'Seals']"
13314,Engine-Turbo Group-Rebuild,"['Bolts and Screws', 'Gaskets']"
13316,Engine-Injector Group-Rebuild,"['Bolts and Screws', 'Caps and Plugs', 'Clamps and Clips', 'Dowel Pins', 'Gaskets', 'Hose adapters', 'O-Rings', 'Seals', 'Valve Cartridges', 'Washers and Spacers']"
13322,Drivetrain-Brakes-Rebuild,"['Bearings', 'Friction Discs', 'Gaskets', 'O-Rings', 'Seals', 'Separator Plates']"
13323,Engine-Injector Group-Rebuild,"['Bolts and Screws', 'Caps and Plugs', 'Clamps and Clips', 'Dowel Pins', 'Fasteners Studs', 'Gaskets', 'Hose adapters', 'Mounts', 'O-Rings', 'Seals', 'Temperature Sensors', 'Valve Cartridges', 'Washers and Spacers']"
13326,Drivetrain-Axle-Rebuild,"['Bearings', 'Bolts and Screws', 'Gaskets']"
13329,Drivetrain-Brakes-Repair,"['Gaskets', 'O-Rings', 'Seals', 'Valve Cartridges', 'Washers and Spacers']"
13335,Drivetrain-Brakes-Repair,"['Bearings', 'Dowel Pins', 'Gaskets', 'Gear Groups', 'Gears', 'O-Rings', 'Planet Gears', 'Seals', 'Thrust Washers', 'Washers and Spacers']"
13336,Engine-Injector Group-Rebuild,"['Bridge', 'Caps and Plugs', 'Dowel Pins', 'Gaskets', 'Hose adapters', 'Injectors', 'O-Rings', 'Seals', 'Valve Cartridges']"
13339,Drivetrain-Axle-Rebuild,"['Bearings', 'Bolts and Screws', 'Driveshafts and Joint Groups', 'Gaskets', 'O-Rings', 'Seals', 'Washers and Spacers']"
13341,Drivetrain-Brakes-Rebuild,"['Friction Discs', 'Gaskets', 'O-Rings', 'Seals', 'Separator Plates', 'Springs']"
13344,Drivetrain-Brakes-Rebuild,"['Bearings', 'Bolts and Screws', 'Duo Cone Group', 'Fasteners Nuts', 'Fasteners Studs', 'Friction Discs', 'Gaskets', 'O-Rings', 'Seals', 'Separator Plates', 'Shims', 'Washers and Spacers']"
13348,Drivetrain-Brakes-Rebuild,"['Controls-Primary', 'Gaskets', 'Information Films', 'Kit - Drivetrain and Steering', 'Kit - Hydraulics', 'Kit - Maintenance', 'No Data', 'O-Rings', 'Seals', 'Solid Rods']"
13353,Drivetrain-Brakes-Rebuild,"['Controls-Primary', 'Gaskets', 'Information Films', 'Kit - Drivetrain and Steering', 'Kit - Hydraulics', 'Kit - Maintenance', 'Master Cylinders', 'No Data', 'O-Rings', 'Seals', 'Solid Rods']"
13360,Engine-Turbo Group-Rebuild,"['Clamps and Clips', 'Fasteners Studs', 'Thermostat', 'Turbos and Turbo Groups']"
13362,Drivetrain-Brakes-Rebuild,"['Kit - Hydraulics', 'Valve Cartridges', 'Valve In-line']"
13366,Drivetrain-Brakes-Rebuild,"['Friction Discs', 'Gaskets', 'O-Rings', 'Seals', 'Shims']"
13368,Engine-Turbo Group-Rebuild,"['Bolts and Screws', 'Kit - Engines']"
13370,Drivetrain-Brakes-Rebuild,"['Dust Ejector Check Valves', 'Foam', 'Hose Assemblies', 'Insulation', 'Kit - Maintenance', 'Liners', 'Retaining Rings', 'Valve Groups and Assemblies']"
13373,Drivetrain-Brakes-Rebuild,"['Breathers', 'Fasteners Nuts', 'Gaskets', 'Kit - Drivetrain and Steering', 'O-Rings', 'Seals']"
13374,Drivetrain-Brakes-Rebuild,"['Bolts and Screws', 'Breathers', 'Gaskets', 'Kit - Maintenance', 'O-Rings', 'Screen Filters', 'Seals', 'Washers and Spacers']"
13384,Drivetrain-Brakes-Rebuild,"['Bolts and Screws', 'Caps and Plugs', 'Gaskets', 'Hose adapters', 'O-Rings', 'Seals', 'Springs', 'Valve Components']"
13405,Drivetrain-Brakes-Rebuild,"['Hose adapters', 'Separator Plates', 'Valve Components']"
13411,Engine-Turbo Group-Rebuild,"['Cartridges', 'Clamps and Clips', 'Gaskets', 'Kit - Engines', 'O-Rings', 'Seals']"
13416,Drivetrain-Axle-Rebuild,"['Bars', 'Bolts and Screws', 'Driveshafts and Joint Groups', 'Gaskets', 'O-Rings', 'Plates and Strips', 'Rotating Seals', 'Seals', 'Washers and Spacers']"
13417,Drivetrain-Brakes-Rebuild,"['Bearings', 'Hubs', 'Hyd Cylinder Piston']"
13432,Drivetrain-Brakes-Rebuild,"['Hose Assemblies', 'Kit - Hydraulics', 'Kit - Maintenance']"
13433,Engine-Turbo Group-Rebuild,"['Bolts and Screws', 'Turbos and Turbo Groups']"
13447,Drivetrain-Brakes-Rebuild,"['Caps and Plugs', 'Hose adapters', 'Kit - Maintenance', 'No Data', 'Other Metallic Covers', 'Other Non-Metallic Covers and Supports']"
13454,Engine-Turbo Group-Rebuild,"['Caps and Plugs', 'Clamps and Clips', 'Hose Assemblies', 'Hose adapters', 'Thermostat', 'Turbos and Turbo Groups']"
13455,Drivetrain-Differential-Repair,"['Gaskets', 'O-Rings', 'Rotating Seals', 'Seals']"
13456,Drivetrain-Brakes-Rebuild,"['Caps and Plugs', 'Gaskets', 'Hose Assemblies', 'Hose adapters', 'Kit - Hydraulics', 'Kit - Maintenance', 'Valve Components']"
13461,Drivetrain-Brakes-Rebuild,"['Bolts and Screws', 'Buttons and Knobs', 'Fasteners Nuts', 'Kit - Maintenance', 'Other Metallic Covers', 'Other Non-Metallic Covers and Supports', 'Washers and Spacers']"
13465,Drivetrain-Brakes-Rebuild,"['Bearings', 'Caps and Plugs', 'Duo Cone Group', 'Gaskets', 'Hyd Cylinder Piston', 'O-Rings', 'Seals']"
13470,Drivetrain-Brakes-Rebuild,"['Caps and Plugs', 'Friction Discs', 'Gaskets', 'Kit - Drivetrain and Steering', 'Miscellaneous Cylinder Components', 'O-Rings', 'Seals', 'Shims']"
13473,Engine-Water Pump Group-Rebuild,['Pulleys']
13477,Engine-Injector Group-Rebuild,"['Bolts and Screws', 'Clamps and Clips', 'Temperature Sensors', 'Washers and Spacers']"
13480,Engine-Injector Group-Rebuild,"['Bridge', 'Caps and Plugs', 'Dowel Pins', 'Gaskets', 'Hose adapters', 'O-Rings', 'Seals', 'Valve Cartridges', 'Washers and Spacers']"
13488,Drivetrain-Brakes-Rebuild,"['Bars', 'Bolts and Screws', 'Caps and Plugs', 'Duo Cone Group', 'Gaskets', 'O-Rings', 'Pins', 'Plates and Strips', 'Seals']"
13493,Drivetrain-Brakes-Rebuild,"['Bolts and Screws', 'Gaskets', 'Hubs', 'O-Rings', 'Seals', 'Shims']"
13495,Drivetrain-Brakes-Rebuild,"['Clamps and Clips', 'Gaskets', 'Hose Assemblies', 'Kit - Drivetrain and Steering', 'O-Rings', 'Seals', 'Solid Rods', 'Tube and Bellows Assemblies']"
13496,Drivetrain-Axle-Rebuild,"['Bearings', 'Driveshafts and Joint Groups', 'Gaskets', 'O-Rings', 'Seals']"
13497,Drivetrain-Brakes-Rebuild,"['Breathers', 'Gaskets', 'Kit - Maintenance', 'O-Rings', 'Screen Filters', 'Seals']"
13505,Drivetrain-Brakes-Repair,"['Bearings', 'Bolts and Screws', 'Clamps and Clips', 'Fasteners Nuts', 'Gaskets', 'O-Rings', 'Seals', 'Washers and Spacers']"
13515,Drivetrain-Brakes-Rebuild,"['Controls-Primary', 'Kit - Maintenance', 'No Data']"
13516,Engine-Turbo Group-Rebuild,"['Fasteners Studs', 'Turbos and Turbo Groups', 'Washers and Spacers']"
13517,Engine-Engine cooling system-Replacement,"['Gaskets', 'Hose Assemblies', 'O-Rings', 'Seals', 'Thermostat', 'Washers and Spacers']"
13526,Drivetrain-Brakes-Rebuild,"['Clamps and Clips', 'Gaskets', 'Kit - Maintenance', 'O-Rings', 'Seals']"
13531,Drivetrain-Brakes-Rebuild,['Solid Rods']
13537,Drivetrain-Brakes-Rebuild,"['Fasteners Nuts', 'Gaskets', 'Kit - Hydraulics', 'O-Rings', 'Seals', 'Valve Cartridges', 'Washers and Spacers']"
13543,Drivetrain-Brakes-Rebuild,"['Bolts and Screws', 'Gaskets', 'O-Rings', 'Seals', 'Separator Plates', 'Valve Components']"
13547,Drivetrain-Axle-Rebuild,"['Bearings', 'Dowel Pins', 'Gaskets', 'O-Rings', 'Seals']"
13560,Drivetrain-Axle-Rebuild,"['Shafts', 'Spindles']"
13563,Drivetrain-Brakes-Rebuild,"['Kit - Hydraulics', 'Other Non-Metallic Covers and Supports']"
13568,Engine-Injector Group-Rebuild,"['Angles and Channels', 'Caps and Plugs', 'Clamps and Clips', 'Dowel Pins', 'Gaskets', 'Hose adapters', 'Mounts', 'O-Rings', 'Seals', 'Temperature Sensors', 'Valve Cartridges']"
13574,Drivetrain-Brakes-Rebuild,"['Caps and Plugs', 'Friction Discs', 'Gaskets', 'O-Rings', 'Seals']"
13585,Drivetrain-Brakes-Rebuild,"['Gaskets', 'O-Rings', 'Seals', 'Shims']"
13589,Drivetrain-Brakes-Rebuild,"['Bars', 'Bolts and Screws', 'Plates and Strips', 'Shims']"
13590,Drivetrain-Brakes-Rebuild,"['Pins', 'Retaining Rings', 'Springs']"
13592,Drivetrain-Brakes-Repair,"['Bearings', 'Bolts and Screws', 'Gaskets', 'O-Rings', 'Seals', 'Washers and Spacers']"
13593,Engine-Injector Group-Rebuild,"['Bolts and Screws', 'Bridge', 'Clamps and Clips', 'Fasteners Nuts', 'Fasteners Studs', 'Gaskets', 'O-Rings', 'Seals', 'Temperature Sensors', 'Washers and Spacers']"
13602,Drivetrain-Brakes-Rebuild,"['Caps and Plugs', 'Hose adapters', 'Joystick Components', 'Other Non-Metallic Covers and Supports', 'Pins', 'Retaining Rings', 'Springs']"
13606,Drivetrain-Brakes-Repair,"['Bolts and Screws', 'Bumpers', 'Grommets', 'Retaining Pins']"
13608,Drivetrain-Brakes-Repair,"['Friction Discs', 'Gaskets', 'O-Rings', 'Retaining Rings', 'Seals', 'Thrust Washers']"
13609,Drivetrain-Brakes-Rebuild,"['Bearings', 'Caps and Plugs', 'Springs', 'Valve Components']"
13614,Drivetrain-Brakes-Rebuild,"['Bars', 'Bolts and Screws', 'Hubs', 'Plates and Strips']"
13618,Drivetrain-Axle-Rebuild,"['Bolts and Screws', 'Gaskets', 'O-Rings', 'Rotating Seals', 'Seals', 'Shafts', 'Yoke Assemblies']"
13623,Drivetrain-Axle-Rebuild,"['Sun Gears', 'Thrust Washers']"
13627,Drivetrain-Brakes-Rebuild,"['Master Cylinders', 'P&M Actuator and Control Parts']"
13630,Drivetrain-Brakes-Rebuild,"['Bolts and Screws', 'Pins']"
13632,Drivetrain-Brakes-Rebuild,"['Breathers', 'Controls-Switching', 'Kit - Drivetrain and Steering', 'Solid Rods', 'Valve Components']"
13636,Drivetrain-Brakes-Rebuild,"['Breathers', 'Kit - Engines', 'Kit - Maintenance']"
13638,Drivetrain-Axle-Rebuild,"['Bars', 'Bearing Housings', 'Bearings', 'Bolts and Screws', 'Driveshafts and Joint Groups', 'Fasteners Nuts', 'Gaskets', 'O-Rings', 'Plates and Strips', 'Rotating Seals', 'Seals', 'Washers and Spacers']"
13641,Engine-Turbo Group-Rebuild,"['Bolts and Screws', 'Gaskets', 'O-Rings', 'Seals', 'Turbos and Turbo Groups', 'Washers and Spacers']"
13660,Drivetrain-Brakes-Rebuild,['DT Valve Groups']
13674,Drivetrain-Axle-Rebuild,"['Bearing Housings', 'Bearings', 'Bolts and Screws', 'Caps and Plugs', 'Fasteners Nuts', 'Gaskets', 'O-Rings', 'Rotating Seals', 'Seals', 'Washers and Spacers']"
13675,Drivetrain-Brakes-Rebuild,"['Bolts and Screws', 'Brake Valves', 'Breathers', 'Hose adapters', 'Information Films', 'Joystick Components', 'Kit - Drivetrain and Steering', 'Kit - Hydraulics', 'No Data']"
13678,Engine-Injector Group-Rebuild,"['Bridge', 'Dowel Pins', 'Gaskets', 'Hose adapters', 'O-Rings', 'Seals', 'Valve Cartridges']"
13681,Drivetrain-Axle-Rebuild,"['Bearings', 'Rotating Seals', 'Yokes']"
13682,Drivetrain-Brakes-Rebuild,"['Dealer Service Tools', 'Hose Assemblies', 'Kit - Maintenance', 'Other Non-Metallic Covers and Supports', 'Pressure Switches']"
13686,Drivetrain-Axle-Rebuild,"['Duo Cone Group', 'Gaskets', 'O-Rings', 'Seals', 'Shims', 'Thrust Washers']"
13690,Drivetrain-Axle-Rebuild,"['Bearing Housings', 'Bolts and Screws', 'Driveshafts and Joint Groups']"
13702,Drivetrain-Brakes-Rebuild,"['Fasteners Nuts', 'Gaskets', 'Hose adapters', 'Kit - Drivetrain and Steering', 'O-Rings', 'Seals', 'Valve Groups and Assemblies']"
13712,Drivetrain-Brakes-Rebuild,"['Bolts and Screws', 'Kit - Drivetrain and Steering', 'Master Cylinders']"
13720,Drivetrain-Axle-Rebuild,"['Bearings', 'Bolts and Screws', 'Fasteners Nuts']"
13721,Drivetrain-Axle-Rebuild,"['Bearings', 'Bolts and Screws', 'Caps and Plugs', 'Driveshafts and Joint Groups', 'Fasteners Nuts', 'Gaskets', 'O-Rings', 'Seals', 'Washers and Spacers']"
13722,Drivetrain-Brakes-Rebuild,"['Bolts and Screws', 'Gaskets', 'O-Rings', 'Pins', 'Seals', 'Springs']"
13727,Drivetrain-Brakes-Rebuild,"['Bars', 'Bolts and Screws', 'Gaskets', 'O-Rings', 'Plates and Strips', 'Seals', 'Separator Plates', 'Washers and Spacers']"
13729,Drivetrain-Brakes-Rebuild,"['Accumulators', 'Common Electrical Components', 'Dryers', 'Gaskets', 'Hose Assemblies', 'Hose adapters', 'Ignition Switch and Key', 'Kit - Maintenance', 'O-Rings', 'Receivers', 'Screen Filters', 'Seals', 'Valve Components', 'Washers and Spacers']"
13737,Drivetrain-Axle-Rebuild,"['Bearings', 'Caps and Plugs', 'Rotating Seals', 'Temperature Sensors']"
13739,Drivetrain-Brakes-Rebuild,"['Bolts and Screws', 'Breathers', 'Gaskets', 'O-Rings', 'Seals', 'Springs']"
13761,Engine-Water Pump Group-Rebuild,"['Bearings', 'Gaskets', 'O-Rings', 'Retaining Rings', 'Rotating Seals', 'Seals', 'Water Pumps']"
13767,Drivetrain-Brakes-Rebuild,"['Solid Rods', 'Springs']"
13771,Drivetrain-Brakes-Rebuild,"['Gaskets', 'Hose adapters', 'Kit - Hydraulics']"
13774,Drivetrain-Brakes-Rebuild,"['Breathers', 'Fasteners Nuts', 'Gaskets', 'Kit - Maintenance', 'No Data', 'O-Rings', 'Seals']"
13782,Drivetrain-Brakes-Repair,"['Bearings', 'Gaskets', 'O-Rings', 'Seals', 'Shims']"
13784,Drivetrain-Brakes-Rebuild,"['Bars', 'Fluid Filter', 'Hose Assemblies', 'Information Films', 'Other Metallic Covers', 'Other Non-Metallic Covers and Supports', 'Pins', 'Plates and Strips', 'Retaining Rings', 'Rotating Seals']"
13785,Engine-Water Pump Group-Rebuild,"['Gaskets', 'Impellers', 'Kit - Engines']"
13787,Drivetrain-Brakes-Repair,"['Bolts and Screws', 'Bumpers', 'Fasteners Nuts', 'Retaining Pins']"
13790,Engine-Turbo Group-Rebuild,"['Bars', 'Caps and Plugs', 'Clamps and Clips', 'Hose Assemblies', 'Plates and Strips', 'Thermostat', 'Tube and Bellows Assemblies', 'Turbos and Turbo Groups']"
13799,Engine-Injector Group-Rebuild,"['Gaskets', 'O-Rings', 'Seals', 'Washers and Spacers']"
13801,Drivetrain-Axle-Rebuild,"['Bearings', 'Bolts and Screws', 'Dowel Pins', 'Gaskets']"
13808,Drivetrain-Brakes-Rebuild,"['Breathers', 'Fasteners Nuts', 'Gaskets', 'Kit - Maintenance', 'O-Rings', 'Seals', 'Washers and Spacers']"
13813,Drivetrain-Brakes-Rebuild,"['Gaskets', 'Kit - Drivetrain and Steering', 'O-Rings', 'Seals', 'Valve Groups and Assemblies']"
13826,Drivetrain-Brakes-Rebuild,"['Bars', 'Duo Cone Group', 'Fasteners Studs', 'Friction Discs', 'Gaskets', 'O-Rings', 'Pins', 'Plates and Strips', 'Seals', 'Springs', 'Valve Components']"
13852,Drivetrain-Brakes-Rebuild,"['Bars', 'Being reviewed', 'Gaskets', 'Plates and Strips']"
13862,Drivetrain-Axle-Rebuild,"['Bearings', 'Retaining Rings']"
13868,Drivetrain-Brakes-Rebuild,"['Caps and Plugs', 'Fasteners Studs', 'Friction Discs', 'Gaskets', 'O-Rings', 'Seals', 'Shims']"
13880,Engine-Injector Group-Rebuild,"['Dowel Pins', 'Gaskets', 'Injectors', 'Valve Cartridges']"
13886,Drivetrain-Brakes-Rebuild,"['Bars', 'Gaskets', 'Kit - Hydraulics', 'O-Rings', 'Plates and Strips', 'Seals']"
13907,Drivetrain-Brakes-Rebuild,"['Buttons and Knobs', 'Gaskets', 'Kit - Maintenance', 'O-Rings', 'Seals']"
13908,Engine-Injector Group-Rebuild,"['Clamps and Clips', 'Gaskets', 'Injectors', 'O-Rings', 'Seals', 'Valve Cartridges', 'Washers and Spacers']"
13909,Drivetrain-Brakes-Rebuild,"['Bars', 'Bolts and Screws', 'Fasteners Nuts', 'Plates and Strips', 'Washers and Spacers']"
13920,Engine-Injector Group-Rebuild,"['Bolts and Screws', 'Washers and Spacers']"
13921,Drivetrain-Brakes-Rebuild,"['Controls-Switching', 'Hose adapters', 'Kit - Maintenance']"
13922,Engine-Injector Group-Rebuild,"['Dowel Pins', 'Kit - Engines']"
13924,Drivetrain-Brakes-Rebuild,"['Bars', 'Fasteners Studs', 'Gaskets', 'Hose adapters', 'O-Rings', 'Pins', 'Plates and Strips', 'Seals', 'Valve Components']"
13926,Drivetrain-Brakes-Rebuild,"['Gaskets', 'O-Rings', 'Retaining Rings', 'Seals', 'Springs']"
13927,Drivetrain-Brakes-Rebuild,"['Fasteners Nuts', 'Friction Discs', 'Separator Plates', 'Shims']"
13933,Drivetrain-Brakes-Rebuild,"['Bars', 'Bearing Retainers', 'Hubs', 'Plates and Strips']"
13943,Engine-Injector Group-Rebuild,"['Caps and Plugs', 'Clamps and Clips', 'Gaskets', 'O-Rings', 'Seals', 'Temperature Sensors', 'Valve Cartridges']"
13944,Drivetrain-Brakes-Rebuild,"['Caps and Plugs', 'Gaskets', 'Kit - Drivetrain and Steering', 'O-Rings', 'Seals']"
13948,Drivetrain-Axle-Rebuild,"['Bearings', 'Duo Cone Group', 'Gaskets', 'O-Rings', 'Seals', 'Shims', 'Thrust Washers']"
13950,Drivetrain-Brakes-Rebuild,"['Bolts and Screws', 'Dust Ejector Check Valves', 'Hose adapters', 'Kit - Maintenance', 'Manifolds', 'Valve In-line']"
13951,Drivetrain-Brakes-Rebuild,"['Controls-Switching', 'Hose adapters', 'Kit - Maintenance', 'Other Non-Metallic Covers and Supports']"
13956,Drivetrain-Brakes-Repair,['Fasteners Rivets']
13959,Drivetrain-Brakes-Rebuild,"['Hose Assemblies', 'Kit - Maintenance', 'No Data']"
13975,Engine-Injector Group-Rebuild,"['Bridge', 'Caps and Plugs', 'Clamps and Clips', 'Gaskets', 'O-Rings', 'Seals', 'Valve Cartridges']"
13985,Drivetrain-Axle-Rebuild,"['Bearings', 'Bolts and Screws', 'Driveshafts and Joint Groups', 'Rotating Seals', 'Washers and Spacers']"
13991,Drivetrain-Brakes-Rebuild,"['Bars', 'Bolts and Screws', 'Duo Cone Group', 'Gaskets', 'O-Rings', 'Plates and Strips', 'Seals', 'Shims', 'Washers and Spacers']"
13993,Engine-Turbo Group-Rebuild,"['Fasteners Studs', 'Thermostat']"
13999,Drivetrain-Brakes-Rebuild,"['Controls-Switching', 'Gaskets', 'Hose adapters', 'Kit - Hydraulics', 'O-Rings', 'Rotating Seals', 'Seals']"
14005,Drivetrain-Brakes-Rebuild,"['Kit - Drivetrain and Steering', 'Master Cylinders', 'Solid Rods']"
14007,Drivetrain-Axle-Rebuild,"['Bolts and Screws', 'Driveshafts and Joint Groups', 'Yoke Assemblies', 'Yokes']"
14009,Engine-Engine cooling system-Replacement,"['Bolts and Screws', 'Clamps and Clips', 'Fasteners Nuts', 'Gaskets', 'Hose Assemblies', 'Lube Filters', 'O-Rings', 'Seals', 'Thermostat']"
14010,Drivetrain-Axle-Rebuild,"['Bars', 'Driveshafts and Joint Groups', 'Gaskets', 'O-Rings', 'Plates and Strips', 'Rotating Seals', 'Seals']"
14016,Drivetrain-Brakes-Rebuild,"['Gaskets', 'Hose Assemblies', 'Latches', 'O-Rings', 'Seals', 'Springs']"
14025,Drivetrain-Brakes-Rebuild,['Brake Linings']
14027,Drivetrain-Brakes-Rebuild,"['Gaskets', 'Kit - Drivetrain and Steering', 'Kit - Maintenance', 'O-Rings', 'Other Metallic Covers', 'Other Non-Metallic Covers and Supports', 'Seals']"
14033,Engine-Injector Group-Rebuild,"['Caps and Plugs', 'Dowel Pins', 'Gaskets', 'Grommets', 'Hose adapters', 'O-Rings', 'Seals', 'Valve Cartridges']"
14035,Drivetrain-Brakes-Rebuild,"['Engine Air Components', 'Friction Discs']"
14044,Engine-Turbo Group-Rebuild,"['Bolts and Screws', 'Clamps and Clips', 'Fasteners Studs']"
14049,Drivetrain-Brakes-Rebuild,"['Bearings', 'Bolts and Screws', 'Caps and Plugs', 'Fasteners Studs', 'Gaskets', 'Hose adapters', 'O-Rings', 'Seals', 'Shims', 'Springs', 'Washers and Spacers']"
14050,Engine-Turbo Group-Rebuild,"['Bolts and Screws', 'Fasteners Studs', 'Hose Assemblies', 'Tube and Bellows Assemblies', 'Turbos and Turbo Groups']"
